No,カテゴリ,タイトル,概要,ポイント,ソース
1,インパクト強め,1億年眠っていたブラックホールが目覚めた,銀河J1007+3540の超大質量BHが沈黙後に突然ジェット噴出。「宇宙の火山」と表現される構造が100万光年に広がる,「1億年前の出来事が今見える」という時間感覚,https://www.sciencedaily.com/releases/2026/04/260411022037.htm
2,インパクト強め,アルテミスII帰還 ― 人類史上もっとも遠い旅,4月10日帰還。アポロ13号の記録を53年ぶりに更新。地球から約41万km。月を超えて帰ってきた,「無人月面着陸より前に人間が月を超えた」矛盾の面白さ,https://www.nasa.gov/mission/artemis-ii/
3,インパクト強め,恒星間彗星3I/ATLASにアルコールが大量検出,太陽系外からやってきた天体のメタノール量が太陽系彗星の79〜124倍。アルマ望遠鏡が観測,「宇宙の旅人がお酒を運んできた」,https://sorae.info/astronomy/20260312-3i-atlas-alma-ch3oh.html
4,知的驚き系,JWSTが85億光年先で「クラゲ銀河」を発見,銀河団のガスに引きずられ触手状の尾を引く銀河。過去最遠のクラゲ銀河。銀河の「死に方」が見えた,銀河にも死のプロセスがある,https://www.sciencedaily.com/releases/2026/03/260303050635.htm
5,知的驚き系,JWSTが天王星の磁場を初めて3Dマッピング,横倒しで公転する天王星の大気を立体的に解析。奇妙な磁場の傾きの原因に迫る,「太陽系で一番変な惑星」の謎,https://www.sciencedaily.com/releases/2026/02/260221000303.htm
6,知的驚き系,初期宇宙でまさかの5銀河衝突,ビッグバンから8億年後に5個の銀河が衝突中。「当時の宇宙でこれほど密集した衝突は予測外」,宇宙初期の常識を覆す,https://stories.tamu.edu/news/2026/01/29/james-webb-space-telescope-finds-an-early%E2%80%91universe-galaxy-collision-no-one-expected/
7,知的驚き系,銀河系の外でベンゼンを初検出（JWST）,炭素の環状分子が系外銀河で初めて発見。生命の前駆物質が宇宙規模で存在する可能性,「生命の材料は宇宙の標準装備かもしれない」,https://www.sciencedaily.com/releases/2026/02/260211073026.htm
8,近未来・人類の挑戦系,ローマン宇宙望遠鏡 2026年秋打ち上げ予定,ハッブルの100倍の視野で1億個の星を一度に観測。2500個の系外惑星発見が目標,「望遠鏡の進化」を人間スケールで,https://spaceexplored.com/2026/03/29/roman-space-telescope-nears-launch-as-nasa-begins-accepting-observing-proposals/
9,近未来・人類の挑戦系,月の裏側でETI探索 ― 中国が静寂の場所を使った,嫦娥4号が月の裏（地球電波ゼロの場所）でSETI観測。人類史上初の「本当に静かな場所」での宇宙人探し,「なぜ月の裏でないといけないか」の説明が刺さる,https://www.space.com/
10,近未来・人類の挑戦系,生命が住める惑星は50個未満（数千の候補から）,系外惑星は5000個以上発見済みだが岩石質ハビタブルゾーンは50個以下,「選ばれなさ」をドラマにできる。地球がいかに奇跡か,https://www.space.com/space-exploration/search-for-life/astronomers-narrow-cosmic-search-for-life-to-fewer-than-50-rocky-planets
