No,テーマ,冒頭1行案,身近さ接続,仕組みのポイント,感情的締め案,難易度,出典メモ,ステータス,追加日
1,スマホGPS × 相対性理論,実は、スマホのGPSは相対性理論がないと毎日11kmズレる。,毎日使うカーナビ・地図アプリ,GPS衛星は高速移動＋高高度にあるため、特殊・一般相対性理論の両方で時計が地上とズレる。補正しないと1日約11kmの誤差が積み重なる。,アインシュタインの理論が、今日の道案内を支えている。,易,https://www.livescience.com/33537-mysterious-physics-everyday-things.html,使用済み,2026-04-23
2,冬の方が太陽に近い × 季節の常識,実は、日本の冬（1月）の方が夏（7月）より太陽に近い。,「冬は寒い＝太陽が遠い」という体感的な常識,地球の公転軌道は楕円で、1月初旬が最接近（約1億4700万km）、7月初旬が最遠（約1億5200万km）。季節は距離ではなく地軸の傾きで決まる。,寒いのに一番近い。宇宙の「近い」と体感の「暖かい」は別の話。,易,https://note.com/ringosan_/n/n27cd9c97fa28,ボツ,2026-04-23
3,中性子星の密度 × キッチン・スプーン,実は、中性子星はスプーン一杯で10億トンある。,スプーン・砂糖・料理の重さ感覚,中性子星は太陽と同程度の質量が直径20kmに圧縮されたもの。電子が原子核に押し込まれ、中性子だけが詰まった超高密度状態。,スプーン一杯が、空母1000隻分。スケール感が完全にバグる。,中,https://science.nasa.gov/universe/neutron-stars-are-weird/,未使用,2026-04-23
4,天の川銀河の中心 × ラズベリーの香り,実は、天の川銀河の中心はラズベリーの香りがする。,食べ物・果物の香り・日常の嗅覚,銀河中心の巨大ガス雲「Sagittarius B2」にエチルフォルメートが大量に含まれる。これはラズベリーの香りと同じ有機分子。,宇宙の中心が、あの甘い香り。なんかちょっと、親しみ湧いてくる。,易,https://www.skyatnightmagazine.com/space-science/facts-about-astronomy-space,使用済み,2026-04-23
5,宇宙飛行士の身長 × 重力と椎間板,実は、宇宙に行くと背が2〜3cm伸びる。,身長測定・朝と夜で身長が変わる感覚,地上では重力で椎間板が圧縮されているが、無重力環境では圧力がかからず椎間板が伸びる。地球に戻ると元に戻る。,身長が伸びたくて宇宙に行く時代、来るかもしれない。,易,https://zatsugaku-mystery.com/space-trivia/,未使用,2026-04-23
6,太陽の光子 × 光速のイメージ,実は、今届いている太陽の光は、10万年前に「生まれた」。,光・日光・朝の太陽,光子は太陽コアで核融合により生まれるが、超高密度の内部をランダムウォークで進むため、表面に出るまで約10万年かかる。表面から地球までは8分。,8分で届く光が、旅立つのに10万年かかった。,中,https://www.astronomy.com/astronomy-for-beginners/20-unusual-space-facts/,ボツ,2026-04-23
7,地球の速度 × 「静止」の感覚,"実は、今この瞬間、あなたは時速107,000kmで宇宙を飛んでいる。",乗り物・新幹線（時速300km）との比較感,"地球は太陽の周りを毎秒約30km（時速約107,000km）で公転している。新幹線の約360倍。重力で引っ張られながらも、慣性で飛び続けている。",新幹線で「速い」と思っている場合じゃない。,易,https://president.jp/articles/-/46378?page=2,ボツ,2026-04-23
8,火星のオリンポス山 × 山の高さ感覚,実は、火星には「飛行機の高度より高い山」がある。,飛行機の高度（10km）・エベレスト（8.8km）の感覚,火星のオリンポス山は高さ約22km。旅客機の巡航高度（約10km）の2倍以上。山が大きくなれた理由はプレートが動かず、マグマが同じ場所に噴き続けたから。,飛行機より高い山。その頂上から見える地平線を想像してみてほしい。,易,https://zatsugaku-company.com/space-trivia-matome/,未使用,2026-04-23
9,宇宙の95%は「見えない」 × 存在感覚,実は、宇宙にあるものの95%は誰も見たことがない。,「見えるもの＝存在するもの」という日常的な感覚,宇宙の構成は通常の物質わずか5%、ダークマター約27%、ダークエネルギー約68%。後者2つは光と反応しないため直接観測不能。,物理学が解明したのは、宇宙の「たった5%」。それだけで、ここまで来た。,中,https://www.discoverybit.com/13200/66-amazing-weird-and-mind-blowing-space-facts-that-will-leave-you-speechless/,未使用,2026-04-23
10,水星の1日 > 1年 × 時間感覚,実は、水星では「1日」が「1年」より長い。,1日と1年という最も基本的な時間感覚,水星の1年は地球時間で88日。しかし自転が極めて遅く、1回転に約59日かかる。太陽との引力でほぼ固定された自転なので、1日（日の出→次の日の出）は実に176日。,朝を迎えるたびに、半年が過ぎている惑星がある。,易,https://www.astronomy.com/astronomy-for-beginners/20-unusual-space-facts/,ボツ,2026-04-23
11,氷が水に浮く × 物質の常識,実は、水は「固体より液体の方が重い」という珍しい物質だ。,飲み物の氷・冬の水道管破裂,ほぼすべての物質は固体が液体より密度が高い。しかし水は凍ると体積が約9%増えて密度が下がる。これがなければ、池は底から凍りつき魚は死滅していた。,氷が水に浮くという「当たり前」が、地球の生命を守っていた。,易,https://www.sciencenewstoday.org/20-most-surprising-science-facts-about-everyday-life,使用済み,2026-04-23
12,太陽コロナ × 焚き火の常識,実は、太陽は表面から離れるほど温度が上がる。,焚き火・ストーブから離れると涼しくなる日常感覚,"太陽表面（光球）は約6,000℃だが、外側のコロナは100〜200万℃。熱源から離れるほど熱くなるというこの逆転現象は、100年以上謎のままだった。",焚き火から離れると熱くなる星。宇宙は日常感覚を軽々と裏切る。,中,https://science.nasa.gov/sun/facts/,使用済み,2026-04-23
13,私たちの体 × 超新星爆発,実は、あなたの体を作る原子は、星の爆発でできた。,自分の体・手のひら・血液の鉄,炭素・酸素・窒素・鉄などの元素は、太陽より重い星が超新星爆発するときに合成され宇宙にばら撒かれる。地球も生命もその残骸でできている。,手のひらの細胞ひとつひとつが、億年前の星の燃えカス。,易,https://science.nasa.gov/universe/stars/,未使用,2026-04-23
14,宇宙空間の温度 × 「宇宙は熱そう」の誤解,実は、宇宙空間は−270℃の極寒だ。,「太陽が輝く宇宙は熱いはず」というイメージ,真空は熱を伝えられない。太陽から離れた宇宙空間は宇宙背景放射の約−270.45℃（絶対零度は−273.15℃）。宇宙服は防寒具でもある。,燃え盛る太陽のすぐ隣が、地球最低気温の100倍寒い。,易,https://starwalk.space/en/news/facts-about-space,未使用,2026-04-23
15,海王星までの距離 × 光の速さ感覚,実は、光の速さでも海王星まで4時間以上かかる。,「光速＝一瞬で届く」というイメージ,光は秒速約30万km。太陽→地球は8分だが、太陽→海王星は約4時間20分。それでも「太陽系の中」の話。,光でさえ4時間かかるのが「お隣の惑星」。太陽系、デカすぎる。,易,https://science.nasa.gov/solar-system/,未使用,2026-04-23
16,木星 × なりそこねた太陽,実は、木星はあと少し大きければ「太陽」になっていた。,夜空に輝く惑星・星との違い,核融合を起こすには太陽の約8%以上の質量が必要。木星の質量は太陽の約0.1%。あと80倍重ければ、地球には太陽が2つあった。,夜空の木星は、星になりそこねた星。その差が今の地球をつくった。,易,https://science.nasa.gov/jupiter/,使用済み,2026-04-23
17,宇宙は無音 × SF映画,実は、宇宙では爆発が起きても音は聞こえない。,SF映画の爆発シーン・宇宙戦争の効果音,音は空気などの媒質を振動させて伝わる波。真空の宇宙には媒質がないため、どんな爆発も無音。映画の宇宙爆発音はすべて「嘘」だ。,映画で慣れ親しんだあの爆発音は、宇宙には存在しない。,易,https://www.sciencekids.co.nz/sciencefacts/sound.html,未使用,2026-04-23
