日付,プロジェクト,フック型,冒頭15字,ソース,備考
2026-08-26,z01,②知識提示,火星の機械は、誰も直しに行けな,未記録,事後分類
2026-08-28,z01,①逆説,僕らの足もとの地球。それによく,未記録,事後分類
2026-08-29,W003,②知識提示,実は、生き物を弾丸にして撃つ実,onePointNeta,事後分類
2026-08-30,W001,①逆説,「世界最高の目」と言われたハッ,noteNeta[9],hook-candidates.mdの決定記録
2026-09-01,z01,①逆説,太陽系の外からやってきた彗星は,newsTopics[3],
2026-09-02,z01,③場面,月には、たった一人だけ人間が埋,noteNeta[113],
2026-09-02,z01,①逆説,月面からの初写真を先に公開した,noteNeta[129],
2026-09-03,z01,①逆説,甘さは地球だけのものだと思って,newsTopics[18],
2026-09-03,z01,③場面,2021年、南極の氷の底で、た,newsTopics[11],
2026-09-03,W001,⑤口火,これ、宇宙開発史でもトップ級に,noteNeta[129],
2026-09-07,z01,①逆説,月に降りられなかった飛行が、い,thoughts[T012],
2026-09-07,z01,①逆説,「星が死ねば、まわりは凍る」。,newsTopics[13],
2026-09-07,z01,①逆説,夜空の星の多くは、じつは惑星を,newsTopics[12],
2026-09-08,z01,③場面,2024年、月へ降りる直前、無,noteNeta[83],
2026-09-08,z01,③場面,1997年のクリスマス、ロケッ,noteNeta[39],
2026-09-09,z01,①逆説,太陽もいつか燃え尽き、燃えかす,newsTopics[13],
2026-09-10,z01,①逆説,2度目の点火をやめたのが正解だ,noteNeta[31],
2026-09-11,z01,①逆説,惑星を探す宇宙望遠鏡ケプラーは,thoughts[T002],
2026-09-11,z01,①逆説,太陽の表面より熱い炎に、みずか,noteNeta[56],
2026-09-11,z01,③場面,1933年、ツビッキーという天,thoughts[T011],
2026-09-13,z01,③場面,満身創痍のはやぶさに、残された,thoughts[T013],
2026-09-15,z01,③場面描写,太陽を10年、誰よりも見,noteNeta[96],
2026-09-15,z01,①逆説,「月に届かなかった飛行」が、人,thoughts[T012],
2026-09-16,z01,①逆説,「たった8日の出張」のはずだっ,noteNeta[105],
2026-09-16,z01,②知識提示,今この瞬間も、幽霊のように僕ら,newsTopics[23],
2026-09-16,z01,①逆説,役目を終えた星のかたわらで、惑,newsTopics[13],
2026-09-18,z01,①逆説,人類初の宇宙遊泳は、船に戻れず,noteNeta[87],
2026-09-18,z01,①逆説,生命の材料は、天の川の中だけで,newsTopics[7],
